win,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas0-10,creepsPerMinDeltas10-20,creepsPerMinDeltas20-30,xpPerMinDeltas0-10,xpPerMinDeltas10-20,xpPerMinDeltas20-30,goldPerMinDeltas0-10,goldPerMinDeltas10-20,goldPerMinDeltas20-30,xpDiffPerMinDeltas0-10,xpDiffPerMinDeltas10-20,xpDiffPerMinDeltas20-30,damageTakenPerMinsDeltas0-10,damageTakenPerMinsDeltas10-20,damageTakenPerMinsDeltas20-30,damageTakenDiffPerMinsDeltas0-10,damageTakenDiffPerMinsDeltas10-20,damageTakenDiffPerMinsDeltas20-30
Thal Youtube구독,1,4,3,3,4,1,1,775,0,0,0,0,0,376338,71933,298640,5763,0,26952,10049,16484,418,10139,1,42241,23185,18324,43,13,25849,9074,14776,1998,22269,19353,7,1,398,32,19,12,489,18,4,0,18,8,0,0,1,0,1,0,6.9,11.8,8.399999999999999,467.3,607.2,522.1,259.3,506,444.70000000000005,34.80000000000001,182.9,8.400000000000034,NaN,NaN,NaN,NaN,NaN,NaN
Lego66,0,0,5,2,0,0,0,452,0,0,0,0,0,40113,5360,32033,2720,0,4250,792,3458,0,755,1,3321,743,743,11,2,8293,3947,3947,398,4561,4525,0,0,87,4,0,0,89,9,1,0,5,1,0,0,0,0,NaN,6,NaN,350.20000000000005,NaN,237,NaN,-45.400000000000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mei Tian Kun,0,4,3,3,3,1,1,832,0,0,0,0,0,79886,70973,7150,1762,0,12411,11719,692,0,1590,1,3893,605,332,15,16,9654,5340,4035,278,7701,6875,0,0,132,16,12,4,336,11,2,0,6,4,0,0,0,0,NaN,7.2,NaN,417.9,NaN,329,NaN,-15.460000000000036,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Axiyo,0,5,7,10,2,1,1,713,0,0,0,0,0,291935,15122,271257,5556,1571,28303,3114,24033,1155,2879,2,17583,9735,8115,39,28,16685,5171,10423,1090,15576,15300,1,0,310,24,24,0,199,15,2,0,9,13,0,0,0,1,0,0,8.5,8.2,9.4,346.7,370.70000000000005,460.9,372.4,435,487.3,70.49999999999997,-95.44999999999993,-62.400000000000034,NaN,NaN,NaN,NaN,NaN,NaN
대구수성구황금동,0,0,3,4,0,0,0,399,0,0,0,0,0,11604,1772,2451,7379,0,1622,1136,229,256,168,4,4039,46,0,26,11,5429,2722,2519,187,3581,3220,0,0,24,0,0,0,34,8,4,0,10,5,0,0,0,0,NaN,1,NaN,229.7,NaN,155.4,NaN,-88.76000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ad20,1,8,2,4,6,3,2,735,2,1,0,0,0,158220,882,153402,3935,848,14477,373,13522,582,2103,4,10130,22958,9271,26,7,10961,3525,6929,506,13298,11400,3,0,210,28,17,4,104,14,5,0,14,4,0,0,0,0,0,1,9.7,7,NaN,392.7,423.20000000000005,NaN,304.6,385.2,NaN,43.69999999999999,-93.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FA Tank,0,1,3,0,0,1,0,485,0,0,0,0,0,51512,45121,4850,1540,0,4553,4288,265,0,809,1,3099,0,0,11,5,8084,5953,2038,92,5694,5050,0,0,136,4,4,0,81,11,2,0,7,2,0,0,0,0,NaN,8.1,NaN,464.5,NaN,296.6,NaN,0.21999999999994202,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Thal Youtube구독,0,2,8,5,0,1,0,412,0,0,0,0,0,18407,7436,5913,5057,0,5318,3618,1177,522,189,1,27105,849,253,63,34,15998,8684,7004,309,7259,5675,0,0,35,0,0,0,189,11,9,0,35,12,0,0,0,0,0,0,1.5,1.5,NaN,260.2,206,NaN,214.70000000000002,245.3,NaN,-1.7000000000000028,-34.95000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
역시폭군,0,0,2,4,0,0,0,492,0,0,0,0,0,74567,53785,17471,3310,0,2500,1545,324,630,13803,3,8044,1197,0,15,11,15263,5290,9055,918,5435,5250,0,0,35,71,62,0,282,10,4,0,5,3,0,0,0,0,NaN,1.1,NaN,340.1,NaN,262.4,NaN,-36.200000000000045,NaN,NaN,NaN,NaN,NaN,NaN,NaN
코 태,1,5,3,11,3,1,1,1042,0,0,0,0,0,203624,1708,196165,5751,0,19796,1488,16831,1476,10802,1,27225,12404,1780,37,16,31056,11779,18260,1016,14555,14300,1,0,255,11,4,0,33,17,5,0,20,7,0,0,0,0,0,0,6.699999999999999,7.5,4.199999999999999,452.1,436.5,396.4,297.6,341.5,342.9,13.400000000000006,-68.9,-89.69999999999996,NaN,NaN,NaN,NaN,NaN,NaN
asdcqwfs,1,4,3,9,3,1,1,523,0,0,0,0,0,107195,90266,13004,3924,0,12256,11079,771,404,2128,2,3703,3336,1104,19,16,9219,2718,6279,222,9467,7700,0,0,176,12,8,0,229,13,4,0,12,0,0,0,0,0,0,1,7.6,8,NaN,316.4,457.40000000000003,NaN,251.1,366.5,NaN,-13.650000000000006,2.2500000000000284,NaN,NaN,NaN,NaN,NaN,NaN,NaN
