Mei Tian Kun,Mercury's Treads,Edge of Night,Youmuu's Ghostblade,NaN,Black Cleaver,Lord Dominik's Regards,Stealth Ward,Electrocute,NaN,,,SuddenImpact,NaN,,,EyeballCollection,NaN,,,RavenousHunter,NaN,NaN,,Triumph,NaN,NaN,,CoupDeGrace,NaN,,,NaN,NaN,NaN,NaN,Zed,Flash,Ignite,SOLO,BOTTOM
Mei Tian Kun,Lich Bane,Broken Stopwatch,NaN,Rabadon's Deathcap,NaN,Sorcerer's Shoes,Stealth Ward,DarkHarvest,NaN,NaN,,SuddenImpact,NaN,,,EyeballCollection,NaN,,,RavenousHunter,NaN,NaN,,Triumph,NaN,NaN,,CoupDeGrace,NaN,,,NaN,NaN,NaN,NaN,Ezreal,Flash,Ignite,DUO,TOP
Gen G Karis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,PressTheAttack,,,,Triumph,,,,LegendBloodline,,,,CoupDeGrace,,,,NimbusCloak,,,,GatheringStorm,,,,NaN,NaN,NaN,NaN,Aphelios,Flash,Heal,DUO,NONE
Gen G Karis,Doran's Blade,Health Potion,NaN,NaN,NaN,NaN,Stealth Ward,PressTheAttack,,,,Triumph,,,,LegendBloodline,,,,CoupDeGrace,,,,NimbusCloak,,,,GatheringStorm,,,,NaN,NaN,NaN,NaN,Aphelios,Flash,Heal,DUO,NONE
T1 BurdoI,Youmuu's Ghostblade,Mercury's Treads,Corrupting Potion,Edge of Night,Long Sword,Ruby Crystal,Stealth Ward,Electrocute,NaN,,,TasteOfBlood,NaN,,,EyeballCollection,NaN,,,RavenousHunter,NaN,NaN,,Triumph,NaN,NaN,,CoupDeGrace,NaN,,,NaN,NaN,NaN,NaN,Pantheon,Heal,Ghost,DUO_SUPPORT,NONE
T1 BurdoI,NaN,Doran's Ring,Sorcerer's Shoes,Void Staff,Rabadon's Deathcap,Rylai's Crystal Scepter,Stealth Ward,NaN,Ahri,Ghost,Heal,DUO,NONE
Gen G Wize,NaN,Mercury's Treads,Abyssal Mask,Spirit Visage,Thornmail,NaN,Poro-Snax,GraspOfTheUndying,NaN,NaN,,Demolish,NaN,,,SecondWind,NaN,,,Overgrowth,NaN,,,NullifyingOrb,NaN,,,Scorch,NaN,,,NaN,NaN,NaN,NaN,Nautilus,Mark,Flash,SOLO,MIDDLE
Gen G Wize,NaN,Sorcerer's Shoes,NaN,Blasting Wand,NaN,NaN,Poro-Snax,ArcaneComet,NaN,,,ManaflowBand,NaN,NaN,,Transcendence,,,,GatheringStorm,NaN,,,EyeballCollection,NaN,,,RelentlessHunter,NaN,NaN,,NaN,NaN,NaN,NaN,Zyra,Clarity,Flash,DUO_SUPPORT,NONE
Mei Tian Kun,Mercury's Treads,Edge of Night,Youmuu's Ghostblade,NaN,Black Cleaver,Lord Dominik's Regards,Stealth Ward,Electrocute,NaN,,,SuddenImpact,NaN,,,EyeballCollection,NaN,,,RavenousHunter,NaN,NaN,,Triumph,NaN,NaN,,CoupDeGrace,NaN,,,NaN,NaN,NaN,NaN,Zed,Flash,Ignite,SOLO,BOTTOM
Mei Tian Kun,Lich Bane,Broken Stopwatch,NaN,Rabadon's Deathcap,NaN,Sorcerer's Shoes,Stealth Ward,DarkHarvest,NaN,NaN,,SuddenImpact,NaN,,,EyeballCollection,NaN,,,RavenousHunter,NaN,NaN,,Triumph,NaN,NaN,,CoupDeGrace,NaN,,,NaN,NaN,NaN,NaN,Ezreal,Flash,Ignite,DUO,TOP
Gen G Karis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,PressTheAttack,,,,Triumph,,,,LegendBloodline,,,,CoupDeGrace,,,,NimbusCloak,,,,GatheringStorm,,,,NaN,NaN,NaN,NaN,Aphelios,Flash,Heal,DUO,NONE
Gen G Karis,Doran's Blade,Health Potion,NaN,NaN,NaN,NaN,Stealth Ward,PressTheAttack,,,,Triumph,,,,LegendBloodline,,,,CoupDeGrace,,,,NimbusCloak,,,,GatheringStorm,,,,NaN,NaN,NaN,NaN,Aphelios,Flash,Heal,DUO,NONE
T1 BurdoI,Youmuu's Ghostblade,Mercury's Treads,Corrupting Potion,Edge of Night,Long Sword,Ruby Crystal,Stealth Ward,Electrocute,NaN,,,TasteOfBlood,NaN,,,EyeballCollection,NaN,,,RavenousHunter,NaN,NaN,,Triumph,NaN,NaN,,CoupDeGrace,NaN,,,NaN,NaN,NaN,NaN,Pantheon,Heal,Ghost,DUO_SUPPORT,NONE
T1 BurdoI,NaN,Doran's Ring,Sorcerer's Shoes,Void Staff,Rabadon's Deathcap,Rylai's Crystal Scepter,Stealth Ward,NaN,Ahri,Ghost,Heal,DUO,NONE
Gen G Wize,NaN,Mercury's Treads,Abyssal Mask,Spirit Visage,Thornmail,NaN,Poro-Snax,GraspOfTheUndying,NaN,NaN,,Demolish,NaN,,,SecondWind,NaN,,,Overgrowth,NaN,,,NullifyingOrb,NaN,,,Scorch,NaN,,,NaN,NaN,NaN,NaN,Nautilus,Mark,Flash,SOLO,MIDDLE
Gen G Wize,NaN,Sorcerer's Shoes,NaN,Blasting Wand,NaN,NaN,Poro-Snax,ArcaneComet,NaN,,,ManaflowBand,NaN,NaN,,Transcendence,,,,GatheringStorm,NaN,,,EyeballCollection,NaN,,,RelentlessHunter,NaN,NaN,,NaN,NaN,NaN,NaN,Zyra,Clarity,Flash,DUO_SUPPORT,NONE
