summonerName,win,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas0-10,creepsPerMinDeltas10-20,creepsPerMinDeltas20-30,xpPerMinDeltas0-10,xpPerMinDeltas10-20,xpPerMinDeltas20-30,goldPerMinDeltas0-10,goldPerMinDeltas10-20,goldPerMinDeltas20-30,xpDiffPerMinDeltas0-10,xpDiffPerMinDeltas10-20,xpDiffPerMinDeltas20-30,damageTakenPerMinsDeltas0-10,damageTakenPerMinsDeltas10-20,damageTakenPerMinsDeltas20-30,damageTakenDiffPerMinsDeltas0-10,damageTakenDiffPerMinsDeltas10-20,damageTakenDiffPerMinsDeltas20-30
Bwipo,1,13,5,7,7,3,3,786,4,2,0,0,0,187320,8379,168371,10569,0,19864,1915,17240,707,12719,1,18599,32691,1270,30,8,27448,5132,21275,1040,14233,13450,1,1,35,147,83,20,279,16,5,0,5,6,0,0,1,0,1,0,0.1,1,NaN,416.2,569.8,NaN,389.1,637.2,NaN,112.5,116.69999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bwipo,0,15,4,3,9,4,2,780,1,1,1,0,0,297728,1162,234790,61774,0,47925,713,28422,18790,13854,1,71370,21802,16771,33,33,41495,9915,21962,9617,20331,21603,6,1,251,56,15,28,380,18,2,0,12,1,1,0,0,0,0,1,8.1,9.5,6,491.2,641.5,651.2,361.4,731.7,727,138.3,306.8,101.30000000000004,NaN,NaN,NaN,NaN,NaN,NaN
Bwipo,1,12,4,12,8,2,2,721,2,0,0,0,0,139543,131279,5878,2385,0,35941,35797,143,0,17255,1,25608,5160,4030,26,34,33687,12557,18828,2300,13660,10975,2,1,177,15,4,9,440,16,3,0,10,1,0,0,0,0,0,0,6.5,8,NaN,422,608.5,NaN,318.9,482.20000000000005,NaN,23.19999999999999,136.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bwipo,1,12,6,8,5,2,4,321,2,0,0,0,0,116002,1077,114008,916,0,18491,368,17936,186,6227,1,29397,10232,5115,26,34,23856,5325,15467,3064,12524,11625,3,0,141,16,8,1,188,14,5,0,10,4,1,0,0,0,0,1,5.7,7.3999999999999995,NaN,455.20000000000005,516.8,NaN,453.5,541.7,NaN,115.40000000000002,13.400000000000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bwipo,1,17,5,9,8,3,3,628,3,1,0,0,0,183219,5149,153976,24093,0,22477,0,17495,4982,19103,1,26374,24878,2298,31,27,35169,10961,22650,1557,16315,14375,0,0,36,142,75,18,344,17,8,0,9,9,0,0,0,0,0,0,0.6000000000000001,0.6,NaN,446.70000000000005,476.5,NaN,468.1,461.8,NaN,168.10000000000002,-10.799999999999983,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bwipo,1,7,0,4,7,2,1,0,1,0,0,0,0,64284,2465,53540,8277,0,6558,0,4895,1662,5971,1,5450,10561,3864,14,13,10586,1683,8759,143,7189,4775,2,1,13,68,27,16,179,10,2,0,3,1,0,0,0,0,1,0,0.2,NaN,528.9,NaN,508.4,NaN,124.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bwipo,1,12,9,8,4,1,3,448,0,0,0,0,0,198785,8540,181605,8640,0,25569,2873,21439,1256,17066,1,21618,34993,1921,37,11,38893,15834,21318,1740,14573,14275,0,0,41,145,66,28,221,17,5,0,3,5,1,0,0,0,0,1,0.2,2.4,0.7,397.6,524,625.1,351.29999999999995,504.7,417.79999999999995,91.89999999999999,-36.099999999999994,13.500000000000028,NaN,NaN,NaN,NaN,NaN,NaN
Bwipo,1,13,4,13,9,3,2,655,2,1,0,0,0,227831,216623,8088,3120,0,33359,32233,876,250,11615,1,11134,26457,7673,26,13,24855,8110,13536,3208,16391,15110,5,0,214,25,8,12,94,16,4,0,9,1,0,0,1,0,0,0,7.3,11.2,NaN,420.20000000000005,736.6,NaN,311.1,756.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bwipo,0,7,8,10,3,1,2,688,0,0,0,0,0,177869,17993,145840,14035,0,20596,1996,17132,1466,10092,1,28846,24778,237,27,20,33260,15118,17670,470,12541,12550,1,0,43,135,78,24,390,15,5,0,5,3,0,0,1,0,0,0,0.7,0.7,2.9,430.2,588.8,389.6,369.4,523.4,310.5,30.69999999999999,57.099999999999994,-33.89999999999999,NaN,NaN,NaN,NaN,NaN,NaN
Bwipo,0,5,10,7,2,1,1,464,0,0,0,0,0,104229,3701,86838,13689,0,16423,0,12409,4013,8435,1,18223,9844,0,28,27,30871,11289,18215,1367,9767,9475,0,0,14,96,70,4,323,12,10,0,18,2,0,0,0,0,0,0,0.4,0.6,NaN,351.20000000000005,396,NaN,348.9,435.4,NaN,0.4000000000000057,-112.70000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
